工具	硬件	使用的分析技术	DMA支持	主要贡献
FIE-USENIX'13	√	符号执行	×	MSP430+状态裁剪+内存模糊
PROSPECT-ASIA CCS'14	×	模糊测试	-	虚拟字符设备代理+动态内存隧道
Avatar-NDSS'14	√	静态分析+符号执行	×	硬件循环
PIE-ACSAC'15	×	静态分析+符号执行	×	识别分析嵌入式二进制解析器
SURROGATES-USENIX'15	√	静态分析+符号执行	√	用FPGA加速Avatar的I/O转发速度
Markus et al.-SECURWAR'16	×	模糊测试	-	外设通信缓存+运行时状态拟合
Andrei et al.-ASIA CCS'16	×	静态分析+模糊测试	-	可扩展仿真框架+嵌入式Web漏洞
FIRMADYNE-NDSS'16	×	动态分析	-	联网商用设备上基于Linux的固件
Avatar2-NDSS(bar)'18	√	符号执行	-	解耦Avatar增加组件见的互操作性
Charm-USENIX'18	√	模糊测试	×	远程设备驱动器执行技术
IOTFUZZER-NDSS'18	×	模糊测试	-	借助移动端应用分析IoT中的内存破坏漏洞
Inception-USENIX'18	√	符号执行	-	处理嵌入式源码中混杂的汇编
Marius et al.-NDSS'18	×	模糊测试	-	检测静默内存破坏漏洞
PRETENDER-USENIX'19	√	符号执行	×	机器学习+模式识别记录固件硬件交互并建模
IoTHunter-CCS'19	×	模糊测试	-	IoT状态协议+多阶段消息生成
FirmAE-ACSAC'20	×	模糊测试	-	仲裁仿真
FIRM-AFL-USENIX'19	×	模糊测试	-	增量仿真
HardSnap-DSN'20	√	符号执行	-	硬件快照
P2IM-USENIX'20	×	模糊测试	×	处理器设备接口模型
HALucinator-USENIX'20	×	模糊测试	√	硬件抽象层功能的高级替换
FIRM-COV-IEE ACCESS'21	×	模糊测试	-	字典生成+结构化输入
PASAN-USENIX'21	×	静态分析	-	嵌入式设备访问一致性
Jetset-USENIX'21	×	符号执行	×	设备行为推断+设备合成
Para-rehosting-NDSS'21	×	模糊测试	√	借助Posix接口抽象并实现PMCU
µEmu-USENIX'21	×	混合执行	×	构建MMIO知识库+优化SR的状态探索
DICE-S&P'21	×	模糊测试	√	DMA访问模式识别
BINSEC/CODEX-RTAS'21	×	形式化验证	-	验证嵌入式二进制中的运行时错误和权限提升问题
DIANE-S&P'21	√	模糊测试	-	分析约束函数提高种子接收率(优化IOTFUZZER)
Conware-CCS'21	√	模糊测试	-	用DAG存储外设访问日志合成基于状态的仿真模型
SaTC-USENIX'21	×	静态污点分析	-	分析嵌入式设备网络服务中的漏洞
FIRMGUIDE-ASE'21	×	模糊测试	-	模型引导的内核执行
ECMO-CCS'21	×	模糊测试	-	设备移植：将Qemu中不支持的内核外设替换为已支持
HEAPSTER-S&P'21	×	静态分析+符号执行	-	自动识别固件映像中使用的堆库
𝜇AFL-ICSE'22	√	模糊测试	×	借助调试工具构建硬件循环固外交互通道
Fuzzware-USENIX'22	×	符号执行+模糊测试	√(手)	细粒度MMIO建模
Ruotong et. al-NDSS'22	-	-	-	调研嵌入式设备中的攻击缓解
MORPHUZZ-USENIX'22	×	模糊测试	√	分析实现DMA交互的虚拟设备
SEMU-CCS'22	×	符号执行	√	使用NLP提取手册信息并建模
FUZZUSB-S&P'22	√	静态分析+符号执行	-	对商用USB小工具栈进行分析
